CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;REF_ARQUIVO_PDF;DESC_ENUNCIADO;DESC_ALTER_A;DESC_ALTER_B;DESC_ALTER_C;DESC_ALTER_D;DESC_ALTER_E;IN_ITEM_IMAGEM
49;CH;141045;A;4;0;;0.20704;11.14224;0.17137;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;"TEXTO I O empirismo moderno foi, em grande parte, condicionado por dois dogmas. Um deles é a crença em certa divisão fundamental entre verdades analíticas, ou fundadas em significados independentemente de questões de fato, e verdades sintéticas, ou fundadas em fatos. O outro dogma é o reducionismo: a crença de que todo enunciado significativo é equivalente a algum construto lógico sobre termos que se referem à experiência imediata. QUINE, W. V. O. Dois dogmas do empirismo. In: RYLE, G. et al. Ensaios. São Paulo: Abril Cultural, 1975. TEXTO II Teses: 1. Somente os enunciados que possuem conteúdo factual são teoricamente significativos; enunciados que não podem, em princípio, estar fundamentados pela experiência são carentes de significado. 2. As ciências empíricas usam somente o conteúdo empírico da realidade. 3. A filosofia usa um conceito não empírico da realidade. CARNAP, R. Pseudoproblemas na filosofia. In: SCHLICK, M.; CARNAP, R.; POPPER, K. Coletânea de textos. São Paulo: Abril Cultural, 1975. Ao comparar os textos, conclui-se que eles apresentam posicionamentos filosóficos divergentes com relação ao";estatuto epistemológico da linguagem.;alicerce estruturante da moralidade.;conteúdo essencial da metafísica.;princípio constitutivo da ontologia.;domínio reflexivo da estética.;0
50;CH;88833;B;3;0;;1.27565;0.64626;0.11824;BRANCA;1385;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;"A alma funciona no meu corpo de maneira maravilhosa. Nele se aloja, certamente, mas sabe bem dele escapar: escapa para ver as coisas através da janela dos meus olhos, escapa para sonhar quando durmo, para sobreviver quando morro. Minha alma durará muito tempo e mais que muito tempo, quando meu corpo vier a apodrecer. Viva minha alma! É meu corpo luminoso, purificado, virtuoso, ágil, móvel, tépido, viçoso; é meu corpo liso, castrado, arredondado como uma bolha de sabão. FOUCAULT, M. O corpo utópico, as heterotopias. São Paulo: Edições N-1, 2013. Esse texto reforça uma concepção metafísica clássica que remete a um(a)";pressuposto lógico.;pensamento dicotômico.;contemplação da natureza.;raciocínio argumentativo.;crítica à individualidade.;0
50;CH;140199;B;14;0;;3.45275;0.54931;0.16635;AZUL;1383;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;O bispo Bartolomeu de Las Casas é o homem mais odiado da América, o anti-Cristo dos senhores, o açoite destas terras. Por sua culpa, o imperador promulgou novas leis que despojam de escravos índios os filhos dos conquistadores. O que será deles sem os braços que os sustentam nas minas e nas lavouras? As novas leis estão arrancando a comida de suas bocas. Las Casas é o homem mais amado da América. Voz dos mudos, teimoso defensor dos que recebem pior tratamento que o esterco das praças, denunciador de quem por cobiça converte Jesus Cristo no mais cruel dos deuses e o rei em lobo faminto de carne humana. GALEANO, E. Os nascimentos. Porto Alegre: L&PM, 2011 (adaptado). Os diferentes pontos de vista presentes no texto expressam que o bispo era, ao mesmo tempo,;execrado pelos reis e reverenciado pelos religiosos do local.;detestado pelos colonizadores e respeitado pelos povos do lugar.;menosprezado pela colônia e idolatrado pelos governantes da região.;desrespeitado pela metrópole e adorado pelos invasores da Espanha.;desacatado pelos excluídos e valorizado pelos negociantes de negros.;0
50;CH;140423;A;4;0;;1.63763;-0.46573;0.19507;VERDE;1386;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;TEXTO I “As novelas brasileiras foram as primeiras a aparecer na TV russa ainda na época de Gorbachov, nos anos 1980. Elas causaram sensação. Houve casos anedóticos, como quando o Parlamento da Federação Russa terminou a sessão mais cedo para ver o último capítulo de Escrava Isaura”, conta o russo Anatoli Sostanov, consultor na área de TV internacional e ex-diretor da emissora estatal russa Canal. Disponível em: www.bbc.com. Acesso em: 16 out. 2021. TEXTO II As novelas de maior impacto em Angola foram as produções brasileiras. Fizeram tanto sucesso que um mercado popular, na época era o maior a céu aberto na África, chegou a receber o nome de Roque Santeiro, novela brasileira exibida naquele país na década de 1980. A influência das produções brasileiras fez com que os angolanos conhecessem o Brasil por meio das novelas. Além de entreter, os folhetins brasileiros até hoje ditam a moda em Angola. Figurinos e acessórios de personagens se transformam em uma verdadeira febre e influenciam o comportamento. Disponível em: https://tvbrasil.ebc.com.br. Acesso em: 16 out. 2021 (adaptado). Embora situados em continentes diferentes com práticas sociais distintas, Rússia e Angola se aproximam, conforme os textos I e II, no aspecto;cultural, ao subjetivarem costumes da teledramaturgia estrangeira.;econômico, ao importarem confecções de estilistas famosos.;geográfico, ao encurtarem distâncias de caráter ideológico.;antropológico, ao adaptarem valores de povos tradicionais.;político, ao adotarem sistemas de governos democráticos.;0
50;CH;141016;B;21;0;;1.98242;0.67856;0.24558;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;"Uma das principais atividades provocadas pela arte, a reflexão, é abandonada pela indústria cultural. A indústria cultural seria como uma isca que ilude os indivíduos, com o sonho de que eles são livres, originais, únicos e especiais quando, na verdade, os trata como servos e partes de uma massa homogênea. FONTES, B.; MAGALHÃES, R. O que é indústria cultural? In: BODART, C. N. (Org.). Conceitos e categorias do ensino de sociologia. Maceió: Café com Sociologia, 2021 (adaptado). Ao analisar as consequências da dinâmica apresentada no texto, as autoras destacam a importância do conceito como:";Ferramenta de luta coletiva.;Mecanismo de controle social.;Instituição de interesse público.;Organização da iniciativa privada.;Instrumento de manipulação estatal.;0
51;CH;86938;D;2;0;;1.8603;0.23132;0.12911;VERDE;1386;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;No Brasil, os remanescentes de antigos quilombos, “mocambos”, “comunidades negras rurais”, “quilombos contemporâneos”, “comunidades quilombolas” ou “terras de preto” referem-se a um mesmo patrimônio territorial e cultural inestimável, que só recentemente passaram a ter atenção do Estado e ser do interesse de algumas autoridades e organismos oficiais. ANJOS, R. S. A. Cartografia e quilombos: territórios étnicos africanos no Brasil. Africana Studia, n. 9, 2007. Na esfera de ação do Estado, com a Constituição de 1988, os espaços mencionados tornaram-se objeto de;iniciativas de planejamento familiar.;projetos de reorientação religiosa.;programas de moradias sustentáveis.;políticas de inserção social.;medidas de homogeneização educacional.;0
51;CH;140161;A;2;0;;2.77926;1.21189;0.19623;BRANCA;1385;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;No primeiro dia, foi colocada uma panela de barro no centro do barracão, a qual representava o espírito do morto presente na sala. Aqueles que dançavam depositavam moedas ao passarem junto dela e, ao seu redor, milho branco, mel, água, acaçás, cachaça. No segundo dia, os ogãs, antes de iniciar a cerimônia, caminharam pelo corredor formado pelas casas, batendo com longas varas de bambus nos seus beirais, até alcançarem o portão de entrada. No terceiro dia, quatro pessoas, as mais influentes do culto, carregaram um lençol, que aparentemente continha um corpo em seu interior. No entanto, esse corpo era formado por folhas verdes de plantas, que foram derramadas sobre uma pessoa. MANZOCHI, H. M. Axexe, um rito de passagem. Revista do Museu de Arqueologia e Etnologia, n. 5, 1995 (adaptado). O ritual brasileiro apresentado no texto representa, para seus adeptos, a;manutenção de uma memória coletiva.;contestação de uma identidade étnica.;imolação de uma divindade africana.;legitimação de uma prática pagã.;promissão de uma revolta social.;0
51;CH;149791;C;15;0;;3.39952;0.32395;0.19849;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;TEXTO I Neta de Tomásia, uma escravizada alforriada, Chiquinha Gonzaga foi uma das primeiras mulheres a se destacar na música popular brasileira. Entre suas obras mais famosas estão a marcha Ó abre alas, sucesso nos blocos de Carnaval até hoje, e o tango Gaúcho, além de inúmeras peças musicais para teatro e óperas. Chiquinha também teve uma atuação em defesa dos direitos das mulheres e pelo fim da escravatura. Disponível em: www.uol.com.br. Acesso em: 7 out. 2023 (adaptado). TEXTO II Depois da estreia de sua peça Gonzaga, em 1867, que tem como um de seus núcleos dramáticos dois escravizados, pai e filha, separados há muitos anos, Castro Alves escreve talvez o maior conjunto de poemas antiescravistas do Romantismo brasileiro, publicados em 1883 no livro Os escravos, doze anos após a sua morte. Os textos Vozes d’África e Navio negreiro, por exemplo, publicados em folhetos, já em 1878, tiveram enorme repercussão desde a sua circulação, a ponto de Afrânio Coutinho (um importante crítico brasileiro) afirmar ter sido Castro Alves, no que diz respeito à poesia antiescravista, um dos primeiros que o Brasil ouviu. Disponível em: www.uol.com.br. Acesso em: 8 out. 2023 (adaptado). Os textos indicam a participação de artistas e intelectuais brasileiros em defesa do(a);ação integralista.;literatura realista.;movimento abolicionista.;política indigenista.;nacionalismo desenvolvimentista.;0
51;CH;149806;E;5;0;;3.72659;0.66069;0.1705;AZUL;1383;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;"A valsa vienense é a mais antiga das danças de salão tradicional. É dançada desde a Idade Média, quando os pares davam voltas pelo salão realizando giros em torno de si mesmos em postura fechada. Pelo fato de ser dançada aos pares em contato íntimo, a valsa encantava a sociedade medieval, como também sofria proibições por infringir os “bons costumes”. Originária das danças campestres e folclóricas, no século XVI, a aristocracia francesa abandonou a valsa por sua estreita relação com a cultura plebeia, retomando-a posteriormente. FRANCO, N.; FERREIRA, N. Evolução da dança no contexto histórico: aproximações iniciais com o tema. Repertório, n. 26, 2016 (adaptado). A expressão cultural descrita no texto foi rejeitada no início da Idade Moderna por congregar";traços advindos da feitiçaria nórdica.;práticas inspiradas em rituais pagãos.;regras decorrentes do período renascentista.;compassos produzidos em territórios colonizados.;elementos provenientes de segmentos populares.;0
52;CH;82093;D;10;0;;1.70988;0.56843;0.12157;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;"Como conclusão provisória, parece então que a globalização tem, sim, o efeito de contestar e deslocar as identidades centradas e “fechadas” de uma cultura nacional. Ela tem um efeito pluralizante sobre as identidades, produzindo uma variedade de possibilidades e novas posições de identificação, e tornando as identidades mais posicionais, mais políticas, mais plurais e diversas; menos fixas, unificadas ou trans-históricas. HALL, S. A identidade cultural na pós-modernidade. Rio de Janeiro: DP&A, 2011. De acordo com o texto, o processo apresentado contribuiu para";elevar a renda da população.;abandonar os valores morais.;estabelecer a igualdade racial.;fortalecer as pautas das minorias.;inverter os fluxos das migrações.;0
52;CH;140159;C;1;0;;2.46852;2.16372;0.13378;VERDE;1386;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;Bertrand Russell conta a história de um peru que descobrira, em sua primeira manhã na fazenda de perus, que fora alimentado às 9 da manhã. Contudo, ele não tirou conclusões apressadas. Esperou até recolher um grande número de observações do fato de que era alimentado às 9 da manhã e fez essas observações sob uma ampla variedade de circunstâncias, às quartas e quintas-feiras, em dias quentes e dias frios, em dias chuvosos e dias secos. A cada dia acrescentava uma outra proposição de observação à sua lista. Finalmente, sua consciência ficou satisfeita e ele concluiu. “Eu sou alimentado sempre às 9 da manhã”. CHALMERS, A. O que é ciência, afinal? São Paulo: Brasiliense, 1993 (adaptado). Qual tipo de raciocínio corresponde ao padrão de pensamento exibido pelo personagem do texto?;Prático, porque recolhe evidências e recomenda ações.;Absoluto, porque busca confirmações e bloqueia refutações.;Indutivo, porque observa eventos particulares e infere leis universais.;Demonstrativo, porque encadeia premissas e extrai conclusões indubitáveis.;Analógico, porque compara diferentes situações e detecta elementos semelhantes.;0
52;CH;140185;B;10;0;;2.40504;0.7279;0.14722;AZUL;1383;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;O Black Lives Matter vai para além do nacionalismo estreito que pode prevalecer no seio das comunidades negras, que se limita a apelar aos negros a amar os negros, viver como os negros e comprar produtos dos negros, e mantém à frente do movimento homens negros heterossexuais. Black Lives Matter estima as vidas dos negros e negras homossexuais e transexuais, pessoas incapacitadas, negros sem documentos ou com antecedentes criminais, mulheres e as vidas de todos os negros de todo o espectro de gêneros. LA BOTZ, D. O movimento Black Lives Matter organiza-se e procura definir-se politicamente. Disponível em: www.ufes.br. Acesso em: 4 out. 2021 (adaptado). A reivindicação do movimento norte-americano apresentada no texto consiste na necessidade de;manter a conquista de direitos sociais.;integrar a diversidade do grupo identitário.;priorizar a preservação de culturas africanas.;defender a adoção de valores supremacistas.;permitir a permanência do modelo androcêntrico.;0
52;CH;141143;D;15;0;;2.58128;0.13172;0.18248;BRANCA;1385;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;Espaços públicos não são produtos dados e acabados, uma instituição que, uma vez estabelecida, traria a paz da consensualidade e a perfeita igualdade. São os lugares em que os problemas aparecem e se transformam em debates, em diálogo e em possibilidade de ajuste e compromissos. Por isso, não anulam os conflitos, ao contrário, são canais de comunicação e de visibilidade de oposições. GOMES, P. C. C. Espaço público, espaços públicos. Geographia, n. 44, set.-dez. 2018 (adaptado). As características descritas no texto exibem a importância dos espaços públicos para a;prática do lazer.;vigilância da sociedade.;erradicação da violência.;construção da democracia.;diversificação do trabalho.;0
53;CH;85551;E;7;0;;2.73828;0.66579;0.17472;VERDE;1386;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;A finalidade mais marcante em toda a história dos mapas, desde o seu início, teria sido a de estarem sempre voltados à prática, principalmente a serviço da dominação, do poder. Sempre registraram o que mais interessava a uma minoria, fato este que acabou estimulando o incessante aperfeiçoamento deles. MARTINELLI, M. Mapas da geografia e cartografia temática. São Paulo: Contexto, 2011 (adaptado). No texto, a cartografia é apresentada como um instrumento usado essencialmente para a;preservação de espaços naturais.;emancipação de sujeitos marginais.;revalorização de culturas reprimidas.;inversão de hierarquias estabelecidas.;sustentação de hegemonias territoriais.;0
53;CH;140199;B;14;0;;3.45275;0.54931;0.16635;BRANCA;1385;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;O bispo Bartolomeu de Las Casas é o homem mais odiado da América, o anti-Cristo dos senhores, o açoite destas terras. Por sua culpa, o imperador promulgou novas leis que despojam de escravos índios os filhos dos conquistadores. O que será deles sem os braços que os sustentam nas minas e nas lavouras? As novas leis estão arrancando a comida de suas bocas. Las Casas é o homem mais amado da América. Voz dos mudos, teimoso defensor dos que recebem pior tratamento que o esterco das praças, denunciador de quem por cobiça converte Jesus Cristo no mais cruel dos deuses e o rei em lobo faminto de carne humana. GALEANO, E. Os nascimentos. Porto Alegre: L&PM, 2011 (adaptado). Os diferentes pontos de vista presentes no texto expressam que o bispo era, ao mesmo tempo,;execrado pelos reis e reverenciado pelos religiosos do local.;detestado pelos colonizadores e respeitado pelos povos do lugar.;menosprezado pela colônia e idolatrado pelos governantes da região.;desrespeitado pela metrópole e adorado pelos invasores da Espanha.;desacatado pelos excluídos e valorizado pelos negociantes de negros.;0
53;CH;140621;C;26;0;;0.73965;1.57862;0.13905;AZUL;1383;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;"Diferenças entre inundação gradual e brusca TOMINAGA, L. K.; SANTORO, J.; AMARAL, R. Desastres naturais: conhecer para prevenir. São Paulo: Instituto Geológico, 2009 (adaptado). A desproporção de velocidade e tempo de duração nos tipos de inundação destacados é condicionada pela";variabilidade solar anual.;temperatura média mensal.;declividade do relevo local.;dinâmica tectônica regional.;gradação da turbidez fluvial.;1
53;CH;141067;C;26;0;;2.46856;1.24642;0.17816;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;TEXTO I Um terremoto de magnitude 5,9 atingiu a cidade de Valparaíso, na costa chilena. O terremoto ocorreu a uma profundidade de 112 quilômetros. Terremoto de magnitude 5,9 atinge Valparaíso, no Chile. Disponível em: www.cnnbrasil.com.br. Acesso em: 6 nov. 2021 (adaptado). TEXTO II Um tremor de terra de magnitude 4,8 foi registrado no município de Atalaia do Norte, no interior do estado do Amazonas. O abalo é de magnitude considerada mediana para os níveis do Brasil. Os eventos dessa região costumam ser resultado das atividades da placa de Nazca. Tremor de terra de magnitude 4,8 é registrado no interior do Amazonas. Disponível em: https://g1.globo.com. Acesso em: 6 nov. 2021 (adaptado). TEXTO III Moradores usaram as redes sociais para relatar tremores de terra no interior de São Paulo. As atividades foram registradas nas cidades de Júlio Mesquita e Guaimbê e tiveram magnitude 3,0 na escala Richter, o que é considerado pequeno e sem previsão de danos. Moradores do interior de SP relatam tremores de terra. Disponível em: https://noticias.r7.com. Acesso em: 6 nov. 2021 (adaptado). As diferenças entre os eventos geológicos relatados decorrem de distintas posições geográficas das cidades em relação a:;Planícies costeiras.;Bacias continentais.;Zonas de subducção.;Áreas de denudação.;Vertentes escarpadas.;0
54;CH;140552;D;12;0;;1.82693;0.87369;0.16157;AZUL;1383;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Os grupos dominantes são beneficiados em termos de credibilidade e podem, com isso, controlar falas de membros de outros grupos, descredibilizando seus testemunhos com base em concepções compartilhadas de preconceito de identidade (gênero e raça). Algumas formas de preconceito tornam as declarações das pessoas menos importantes devido ao seu pertencimento a determinado grupo social. Assim, um falante recebe menos credibilidade devido ao preconceito do ouvinte. KUHNEN, T. Resenha de The Power and Ethics of Knowing, de Miranda Fricker. Revista Princípios, n. 33, 2013. Com base na reflexão suscitada no texto, o preconceito de identidade é responsável por um tipo de injustiça;estética, que normatiza os padrões corporais.;sensorial, que privilegia as habilidades visuais.;afetiva, que impede as expressões emocionais.;epistêmica, que prejudica as trocas informacionais.;econômica, que perpetua as desigualdades materiais.;0
54;CH;141035;E;11;0;;1.4122;0.27283;0.0807;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;"Tal qual num exército, não se compreende um efetivo composto apenas de oficiais. Também na saúde pública, os funcionários técnicos graduados necessitam ser assistidos por auxiliares em número suficiente e com preparo adequado, constituído pelas enfermeiras de saúde pública, educadoras ou visitadoras sanitárias, técnicos de laboratório, inspetores ou guardas etc., para não falarmos no pessoal burocrático, não especializado. PAULA SOUZA, G. H.; VIEIRA, F. B. Centro de saúde “eixo” de organização sanitária. Boletim do Instituto de Higiene de São Paulo, n. 59 (adaptado). O texto dos sanitaristas atuantes nas décadas de 1920 e 1930 veicula uma mensagem caracterizada pela";higienização moral.;imposição eugênica.;assimilação cultural.;hegemonização identitária.;hierarquização profissional.;0
54;CH;141338;D;5;0;;0.44561;2.71266;0.00977;VERDE;1386;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;As capas dos folhetos de cordel, já então ilustradas por postais fotográficos, desenhos ou fotogramas de filmes, demoravam mais de uma semana para serem transformadas em clichês em Recife ou Fortaleza, o que levou a que santeiros e artesãos locais fossem requisitados para cortar na umburana — madeira preferida para o taco xilográfico pela facilidade do talhe e abundância — princesas, dragões, cangaceiros. CARVALHO, G. Xilogravura: os percursos da criação popular. Revista do Instituto de Estudos Brasileiros, n. 39, 1986 (adaptado). No início do século XX, a incorporação da técnica de produção descrita no texto promoveu uma renovação da;manifestação jornalística.;narrativa literária.;indústria regional.;estética editorial.;cultura erudita.;0
54;CH;149806;E;5;0;;3.72659;0.66069;0.1705;BRANCA;1385;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;"A valsa vienense é a mais antiga das danças de salão tradicional. É dançada desde a Idade Média, quando os pares davam voltas pelo salão realizando giros em torno de si mesmos em postura fechada. Pelo fato de ser dançada aos pares em contato íntimo, a valsa encantava a sociedade medieval, como também sofria proibições por infringir os “bons costumes”. Originária das danças campestres e folclóricas, no século XVI, a aristocracia francesa abandonou a valsa por sua estreita relação com a cultura plebeia, retomando-a posteriormente. FRANCO, N.; FERREIRA, N. Evolução da dança no contexto histórico: aproximações iniciais com o tema. Repertório, n. 26, 2016 (adaptado). A expressão cultural descrita no texto foi rejeitada no início da Idade Moderna por congregar";traços advindos da feitiçaria nórdica.;práticas inspiradas em rituais pagãos.;regras decorrentes do período renascentista.;compassos produzidos em territórios colonizados.;elementos provenientes de segmentos populares.;0
55;CH;88833;B;3;0;;1.27565;0.64626;0.11824;AZUL;1383;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;"A alma funciona no meu corpo de maneira maravilhosa. Nele se aloja, certamente, mas sabe bem dele escapar: escapa para ver as coisas através da janela dos meus olhos, escapa para sonhar quando durmo, para sobreviver quando morro. Minha alma durará muito tempo e mais que muito tempo, quando meu corpo vier a apodrecer. Viva minha alma! É meu corpo luminoso, purificado, virtuoso, ágil, móvel, tépido, viçoso; é meu corpo liso, castrado, arredondado como uma bolha de sabão. FOUCAULT, M. O corpo utópico, as heterotopias. São Paulo: Edições N-1, 2013. Esse texto reforça uma concepção metafísica clássica que remete a um(a)";pressuposto lógico.;pensamento dicotômico.;contemplação da natureza.;raciocínio argumentativo.;crítica à individualidade.;0
55;CH;140185;B;10;0;;2.40504;0.7279;0.14722;BRANCA;1385;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;O Black Lives Matter vai para além do nacionalismo estreito que pode prevalecer no seio das comunidades negras, que se limita a apelar aos negros a amar os negros, viver como os negros e comprar produtos dos negros, e mantém à frente do movimento homens negros heterossexuais. Black Lives Matter estima as vidas dos negros e negras homossexuais e transexuais, pessoas incapacitadas, negros sem documentos ou com antecedentes criminais, mulheres e as vidas de todos os negros de todo o espectro de gêneros. LA BOTZ, D. O movimento Black Lives Matter organiza-se e procura definir-se politicamente. Disponível em: www.ufes.br. Acesso em: 4 out. 2021 (adaptado). A reivindicação do movimento norte-americano apresentada no texto consiste na necessidade de;manter a conquista de direitos sociais.;integrar a diversidade do grupo identitário.;priorizar a preservação de culturas africanas.;defender a adoção de valores supremacistas.;permitir a permanência do modelo androcêntrico.;0
55;CH;141032;B;3;0;;1.98686;1.43691;0.21777;VERDE;1386;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;O Círio de Nazaré é uma festa que ocorre, anualmente, na cidade de Belém do Pará, no segundo domingo do mês de outubro. Sua estrutura ritualística tem origem no catolicismo devocional que surge em Portugal por volta do século XV. Até 1789, a festa em louvor a Nossa Senhora de Nazaré, em Belém, era marcada pelas ladainhas e novenas. Em 1790, a Igreja Católica autorizou a realização de festa em homenagem à Virgem. A primeira procissão ocorreu em 1793. Existindo há mais de duzentos anos, a Festa congrega um extenso mosaico de elementos integrados em diferentes planos e graus de intensidade. ALMEIDA, I. M. A. Revisitando o Círio de Nazaré a partir da lente sociológica de Eidorfe Moreira. Boletim do Museu Paraense Emílio Goeldi, n. 3, set.-dez. 2015 (adaptado). O reconhecimento da festa descrita no texto, como patrimônio histórico, encontra sustentação no(a);instituição de políticas públicas de âmbito local.;registro de bens culturais de natureza imaterial.;tombamento de sítios arqueológicos de propriedade privada.;salvaguarda de elementos sacros de expressão regional.;categorização de manifestações cristãs de caráter oficial.;0
55;CH;141161;C;27;0;;1.7665;0.28216;0.126;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;O rompimento da barragem de Fundão levou muito consigo. A lama soterrou sonhos e modificou de forma permanente centenas de vidas nascidas e criadas em Bento Rodrigues e Paracatu, em Mariana (MG). Mas não somente. Ao se estender ao longo do rio, outras famílias e histórias foram atingidas de formas diferentes. Ao fugirem dos rejeitos que rapidamente tomaram as localidades, deixaram para trás os resquícios da vida que tiveram até o 5 de novembro de 2015. Nada jamais seria igual. SANTOS, P. Histórias soterradas. Curinga, n. 19, nov. 2016 (adaptado). Conforme o texto, o evento gerou o seguinte impacto na relação entre as pessoas e o seu espaço vivido:;Flexibilização de parâmetros ambientais.;Consolidação de identidades regionais.;Fragilização de vínculos afetivos.;Supressão de práticas exploratórias.;Recuperação de tradições ancestrais.;0
56;CH;125946;E;16;0;;3.40587;1.26456;0.13332;AMARELA;1384;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;"Com a proximidade do final do século XIX, amplificam-se as expectativas com relação ao século seguinte. Se muitas eram as utopias, talvez uma das mais evidentes tenha se concentrado nas potencialidades da nova ciência, com suas invenções e projetos. Não é por mera coincidência que a agenda do país tenha sido tomada pela introdução de uma série de inventos. De forma acelerada, entraram no Brasil a luz elétrica e, com ela, o telégrafo, o telefone, o cinematógrafo. Na área dos transportes, o trem a vapor é substituído pelo elétrico, que assiste à entrada do automóvel e até do aeroplano. COSTA, A. M.; SCHWARCZ, L. M. 1890-1914, no tempo das certezas. São Paulo: Cia. das Letras, 2000 (adaptado). No Brasil, os eventos descritos ganharam conotação política ao serem vinculados à";expansão estratégica do imperialismo.;ascensão gradual do mercantilismo.;laicidade da educação.;retomada do absolutismo.;visão republicana de nação.;0
56;CH;140161;A;2;0;;2.77926;1.21189;0.19623;AZUL;1383;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;No primeiro dia, foi colocada uma panela de barro no centro do barracão, a qual representava o espírito do morto presente na sala. Aqueles que dançavam depositavam moedas ao passarem junto dela e, ao seu redor, milho branco, mel, água, acaçás, cachaça. No segundo dia, os ogãs, antes de iniciar a cerimônia, caminharam pelo corredor formado pelas casas, batendo com longas varas de bambus nos seus beirais, até alcançarem o portão de entrada. No terceiro dia, quatro pessoas, as mais influentes do culto, carregaram um lençol, que aparentemente continha um corpo em seu interior. No entanto, esse corpo era formado por folhas verdes de plantas, que foram derramadas sobre uma pessoa. MANZOCHI, H. M. Axexe, um rito de passagem. Revista do Museu de Arqueologia e Etnologia, n. 5, 1995 (adaptado). O ritual brasileiro apresentado no texto representa, para seus adeptos, a;manutenção de uma memória coletiva.;contestação de uma identidade étnica.;imolação de uma divindade africana.;legitimação de uma prática pagã.;promissão de uma revolta social.;0
56;CH;140621;C;26;0;;0.73965;1.57862;0.13905;BRANCA;1385;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;"Diferenças entre inundação gradual e brusca TOMINAGA, L. K.; SANTORO, J.; AMARAL, R. Desastres naturais: conhecer para prevenir. São Paulo: Instituto Geológico, 2009 (adaptado). A desproporção de velocidade e tempo de duração nos tipos de inundação destacados é condicionada pela";variabilidade solar anual.;temperatura média mensal.;declividade do relevo local.;dinâmica tectônica regional.;gradação da turbidez fluvial.;1
56;CH;149808;A;1;0;;1.05033;0.20527;0.00887;VERDE;1386;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;Os salões permitiam aos escritores da época do Iluminismo adentrar no universo dos poderosos. Figuras como as de Voltaire e Duclos exortavam seus “irmãos” a aproveitarem da mobilidade que era oferecida pela ordem social do Antigo Regime, juntando-se à elite. Nos últimos decênios do Ancien Régime, ele foi se tornando cada vez mais o reduto dos filósofos do Alto Iluminismo, que deixavam os cafés para os tipos inferiores de literário. Com efeito, os cafés se constituíram na antítese lógica dos salões. Eles eram abertos a todos, a um passo da rua. Como é possível constatar, salões e cafés constituem interessantes instituições do espaço público literário através das quais é possível vislumbrar as bases sociais nas quais se assentavam o Alto e o Baixo Iluminismo. HABERMAS, J. Mudança estrutural da esfera pública: investigações quanto a uma categoria da sociedade burguesa. Rio de Janeiro: Tempo Brasileiro, 1984 (adaptado). No período iluminista, os espaços sociais mencionados contribuíram para;segregar pensadores e aumentar a circulação de ideias.;apoiar revolucionários e perseguir a nobreza local.;rejeitar poetisas e proibir a entrada de mulheres.;censurar cronistas e coibir o patrocínio editorial.;integrar artistas e ampliar o comércio urbano.;0
